Season,Episode,Actor,Role,Death_EpIndex
8,5,Pilou Asbæk,Euron Greyjoy,805
8,5,Anton Lesser,Qyburn,805
8,5,Hafþór Júlíus Björnsson,Gregor 'The Mountain' Clegane,805
8,5,Laura Elphinstone,Nora,805
8,5,Marc Rissmann,Harry Strickland,805
8,5,Alexis Raben,Xela,805
8,5,Matthew Wolf,Lannister Soldier,805
8,5,Bronte Carmichael,Martha,805
8,5,Tipper Seifert-Cleveland,Nora's Daughter,805
8,5,Frank Blake,Northern Sentry,805
8,5,Ryan McKen,Lannister Soldier,805
8,5,Owen Whitelaw,Lannister Soldier,805
8,5,Rori Hawthorn,Young Woman,805
8,5,Oliver Devoti,Northerner in Alley,805
8,5,Jim Tighe,Lannister Soldier,805
8,5,Derek Dubery,Lannister Soldier,805
8,5,Luke McQuillan,Lannister Soldier,805
8,5,Nicky Harley,King's Landing Citizen,805
8,5,Hayley McQuillan,King's Landing Citizen,805
8,5,Adam Devereux,Lannister Soldier,805
8,5,Thomas Martin,Lannister Soldier,805
8,5,Brian Patrick Kennedy,Lannister Soldier,805
8,5,Luna Kalo,King's Landing Citizen,805
8,5,Caitlin Pharro,King's Landing Citizen,805
8,5,Louis McCartney,King's Landing Citizen,805
8,5,Rosie McClelland,King's Landing Citizen,805
8,5,Isaac Heslip,King's Landing Citizen,805
8,5,Jack Morgan,Lannister Soldier,805
8,6,Peter Dinklage,Tyrion Lannister,806
8,6,Nikolaj Coster-Waldau,Jaime Lannister,806
8,6,Lena Headey,Cersei Lannister,806
8,6,Emilia Clarke,Daenerys Targaryen,806
8,6,Kit Harington,Jon Snow,806
8,6,Sophie Turner,Sansa Stark,806
8,6,Maisie Williams,Arya Stark,806
8,6,Liam Cunningham,Davos Seaworth,806
8,6,John Bradley,Samwell Tarly,806
8,6,Isaac Hempstead Wright,Bran Stark,806
8,6,Gwendoline Christie,Brienne of Tarth,806
8,6,Jerome Flynn,Bronn,806
8,6,Kristofer Hivju,Tormund Giantsbane,806
8,6,Joe Dempsie,Gendry,806
8,6,Jacob Anderson,Grey Worm,806
8,6,Gemma Whelan,Yara Greyjoy,806
8,6,Tobias Menzies,Edmure Tully,806
8,6,Daniel Portman,Podrick Payne,806
8,6,Rupert Vansittart,Yohn Royce,806
8,6,Lino Facioli,Robin Arryn,806
8,6,Richard Rycroft,Maester Wolkan,806
8,6,Gabriel Akuwudike,Unsullied Captain,806
8,6,Noel Harron,Ironborn Lord,806
8,6,Toby Osmond,Dornish Prince,806
8,6,Andrew Bicknell,Riverlands Lord,806
8,6,Michael Benbaruk,Lord Une,806
8,6,Frank Jakeman,Vale Lord,806
8,6,Niall Bishop,Northern Lord,806
8,6,Pádraig O'Grady,Crying Man,806
8,6,Eoin Duffy,Lannister,806
8,6,Shane Whisker,Villager 1,806
