Season,Episode,Episode ID,Episode URL,Cast Info Text,Actors,Characters
1,11,tt1851397,https://www.imdb.com/title/tt1851397/?ref_=ttep_ep_10,,", Sean Bean, , Michelle Fairley, , Nikolaj Coster-Waldau, , Lena Headey, , Emilia Clarke, , Iain Glen, , Aidan Gillen, , Kit Harington, , Richard Madden, , Sophie Turner, , Maisie Williams, , Alfie Allen, , Isaac Hempstead Wright, , Jack Gleeson, , Rory McCann, , Peter Dinklage, , Donald Sumpter, , Conleth Hill","Eddard 'Ned' Stark (), (credit only) (Sean Bean), Catelyn Stark (), Jaime Lannister (Michelle Fairley), Cersei Lannister (), Daenerys Targaryen (Nikolaj Coster-Waldau), Jorah Mormont (), Petyr 'Littlefinger' Baelish (Lena Headey), Jon Snow (), Robb Stark (Emilia Clarke), Sansa Stark (), Arya Stark (Iain Glen), Theon Greyjoy (), Bran Stark (Aidan Gillen), Joffrey Baratheon (), Sandor 'The Hound' Clegane (Kit Harington), Tyrion Lannister (), Maester Luwin (Richard Madden), Lord Varys ()"
2,1,tt1971833,https://www.imdb.com/title/tt1971833/?ref_=ttep_ep_1,,", Peter Dinklage, , Lena Headey, , Nikolaj Coster-Waldau, , Michelle Fairley, , Emilia Clarke, , Aidan Gillen, , Iain Glen, , Kit Harington, , Liam Cunningham, , Isaac Hempstead Wright, , Richard Madden, , Sophie Turner, , Maisie Williams, , Alfie Allen, , John Bradley, , Jack Gleeson, , Rory McCann, , Stephen Dillane","Tyrion Lannister (), Cersei Lannister (Peter Dinklage), Jaime Lannister (), Catelyn Stark (Lena Headey), Daenerys Targaryen (), Petyr 'Littlefinger' Baelish (Nikolaj Coster-Waldau), Jorah Mormont (), Jon Snow (Michelle Fairley), Davos Seaworth (), Bran Stark (Emilia Clarke), Robb Stark (), Sansa Stark (Aidan Gillen), Arya Stark (), Theon Greyjoy (Iain Glen), Samwell Tarly (), Joffrey Baratheon (Kit Harington), Sandor 'The Hound' Clegane (), Stannis Baratheon (Liam Cunningham)"
2,2,tt2069318,https://www.imdb.com/title/tt2069318/?ref_=ttep_ep_2,,", Peter Dinklage, , Lena Headey, , Emilia Clarke, , Aidan Gillen, , Iain Glen, , Kit Harington, , Liam Cunningham, , Alfie Allen, , Maisie Williams, , Stephen Dillane, , Carice van Houten, , Jerome Flynn, , Conleth Hill, , John Bradley, , Sibel Kekilli, , Julian Glover, , Robert Pugh, , Patrick Malahide","Tyrion Lannister (), Cersei Lannister (Peter Dinklage), Daenerys Targaryen (), Petyr 'Littlefinger' Baelish (Lena Headey), Jorah Mormont (), Jon Snow (Emilia Clarke), Davos Seaworth (), Theon Greyjoy (Aidan Gillen), Arya Stark (), Stannis Baratheon (Iain Glen), Melisandre (), (as Carice Van Houten) (Kit Harington), Bronn (), Lord Varys (Liam Cunningham), Samwell Tarly (), Shae (Alfie Allen), Grand Maester Pycelle (), Craster (Maisie Williams), Balon Greyjoy ()"
2,3,tt2070135,https://www.imdb.com/title/tt2070135/?ref_=ttep_ep_3,,", Peter Dinklage, , Lena Headey, , Michelle Fairley, , Aidan Gillen, , Kit Harington, , Alfie Allen, , Isaac Hempstead Wright, , Sophie Turner, , Maisie Williams, , John Bradley, , Natalie Dormer, , James Cosmo, , Jerome Flynn, , Conleth Hill, , Sibel Kekilli, , Donald Sumpter, , Ron Donachie, , Julian Glover","Tyrion Lannister (), Cersei Lannister (Peter Dinklage), Catelyn Stark (), Petyr 'Littlefinger' Baelish (Lena Headey), Jon Snow (), Theon Greyjoy (Michelle Fairley), Bran Stark (), Sansa Stark (Aidan Gillen), Arya Stark (), Samwell Tarly (Kit Harington), Margaery Tyrell (), Jeor Mormont (Alfie Allen), Bronn (), Lord Varys (Isaac Hempstead Wright), Shae (), Maester Luwin (Sophie Turner), Rodrik Cassel (), (credit only) (Maisie Williams), Grand Maester Pycelle ()"
2,4,tt2069319,https://www.imdb.com/title/tt2069319/?ref_=ttep_ep_4,,", Peter Dinklage, , Michelle Fairley, , Emilia Clarke, , Aidan Gillen, , Iain Glen, , Charles Dance, , Liam Cunningham, , Jack Gleeson, , Richard Madden, , Sophie Turner, , Maisie Williams, , Stephen Dillane, , Carice van Houten, , Natalie Dormer, , Jerome Flynn, , Rory McCann, , Gethin Anthony, , Nicholas Blane","Tyrion Lannister (), Catelyn Stark (Peter Dinklage), Daenerys Targaryen (), Petyr 'Littlefinger' Baelish (Michelle Fairley), Jorah Mormont (), Tywin Lannister (Emilia Clarke), Davos Seaworth (), Joffrey Baratheon (Aidan Gillen), Robb Stark (), Sansa Stark (Iain Glen), Arya Stark (), Stannis Baratheon (Charles Dance), Melisandre (), (as Carice Van Houten) (Liam Cunningham), Margaery Tyrell (), Bronn (Jack Gleeson), Sandor 'The Hound' Clegane (), Renly Baratheon (Richard Madden), Spice King ()"
2,5,tt2074658,https://www.imdb.com/title/tt2074658/?ref_=ttep_ep_5,,", Peter Dinklage, , Lena Headey, , Michelle Fairley, , Emilia Clarke, , Aidan Gillen, , Iain Glen, , Kit Harington, , Charles Dance, , Liam Cunningham, , Alfie Allen, , John Bradley, , Isaac Hempstead Wright, , Maisie Williams, , Stephen Dillane, , Natalie Dormer, , James Cosmo, , Jerome Flynn, , Donald Sumpter","Tyrion Lannister (), Cersei Lannister (Peter Dinklage), Catelyn Stark (), Daenerys Targaryen (Lena Headey), Petyr 'Littlefinger' Baelish (), Jorah Mormont (Michelle Fairley), Jon Snow (), Tywin Lannister (Emilia Clarke), Davos Seaworth (), Theon Greyjoy (Aidan Gillen), Samwell Tarly (), Bran Stark (Iain Glen), Arya Stark (), Stannis Baratheon (Kit Harington), Margaery Tyrell (), Jeor Mormont (Charles Dance), Bronn (), Maester Luwin (Liam Cunningham)"
2,6,tt2085238,https://www.imdb.com/title/tt2085238/?ref_=ttep_ep_6,,", Peter Dinklage, , Lena Headey, , Michelle Fairley, , Emilia Clarke, , Aidan Gillen, , Kit Harington, , Charles Dance, , Isaac Hempstead Wright, , Richard Madden, , Sophie Turner, , Maisie Williams, , Alfie Allen, , Jack Gleeson, , Sibel Kekilli, , Rory McCann, , Donald Sumpter, , Ron Donachie, , Natalia Tena","Tyrion Lannister (), Cersei Lannister (Peter Dinklage), Catelyn Stark (), Daenerys Targaryen (Lena Headey), Petyr 'Littlefinger' Baelish (), Jon Snow (Michelle Fairley), Tywin Lannister (), Bran Stark (Emilia Clarke), Robb Stark (), Sansa Stark (Aidan Gillen), Arya Stark (), Theon Greyjoy (Kit Harington), Joffrey Baratheon (), Shae (Charles Dance), Sandor 'The Hound' Clegane (), Maester Luwin (Isaac Hempstead Wright), Rodrik Cassel (), Osha (Richard Madden)"
2,7,tt2085239,https://www.imdb.com/title/tt2085239/?ref_=ttep_ep_7,,", Peter Dinklage, , Lena Headey, , Nikolaj Coster-Waldau, , Michelle Fairley, , Emilia Clarke, , Iain Glen, , Kit Harington, , Charles Dance, , Isaac Hempstead Wright, , Richard Madden, , Sophie Turner, , Maisie Williams, , Alfie Allen, , Sibel Kekilli, , Rory McCann, , Donald Sumpter, , Ian Hanmore, , Nicholas Blane","Tyrion Lannister (), Cersei Lannister (Peter Dinklage), Jaime Lannister (), Catelyn Stark (Lena Headey), Daenerys Targaryen (), Jorah Mormont (Nikolaj Coster-Waldau), Jon Snow (), Tywin Lannister (Michelle Fairley), Bran Stark (), Robb Stark (Emilia Clarke), Sansa Stark (), Arya Stark (Iain Glen), Theon Greyjoy (), Shae (Kit Harington), Sandor 'The Hound' Clegane (), Maester Luwin (Charles Dance), Pyat Pree (), Spice King (Isaac Hempstead Wright)"
2,8,tt2085240,https://www.imdb.com/title/tt2085240/?ref_=ttep_ep_8,,", Peter Dinklage, , Lena Headey, , Nikolaj Coster-Waldau, , Michelle Fairley, , Emilia Clarke, , Iain Glen, , Kit Harington, , Charles Dance, , Liam Cunningham, , Jack Gleeson, , Isaac Hempstead Wright, , Richard Madden, , Maisie Williams, , Alfie Allen, , John Bradley, , Stephen Dillane, , Sibel Kekilli, , Jerome Flynn","Tyrion Lannister (), Cersei Lannister (Peter Dinklage), Jaime Lannister (), Catelyn Stark (Lena Headey), Daenerys Targaryen (), Jorah Mormont (Nikolaj Coster-Waldau), Jon Snow (), Tywin Lannister (Michelle Fairley), Davos Seaworth (), Joffrey Baratheon (Emilia Clarke), Bran Stark (), Robb Stark (Iain Glen), Arya Stark (), Theon Greyjoy (Kit Harington), Samwell Tarly (), Stannis Baratheon (Charles Dance), Shae (), Bronn (Liam Cunningham)"
2,9,tt2084342,https://www.imdb.com/title/tt2084342/?ref_=ttep_ep_9,,", Peter Dinklage, , Lena Headey, , Charles Dance, , Liam Cunningham, , Jack Gleeson, , Sophie Turner, , Rory McCann, , Stephen Dillane, , Jerome Flynn, , Conleth Hill, , Sibel Kekilli, , Roy Dotrice, , Julian Glover, , Eugene Simon, , Kerr Logan, , Finn Jones, , Sahara Knite, , Tony Way","Tyrion Lannister (), Cersei Lannister (Peter Dinklage), Tywin Lannister (), Davos Seaworth (Lena Headey), Joffrey Baratheon (), Sansa Stark (Charles Dance), Sandor 'The Hound' Clegane (), Stannis Baratheon (Liam Cunningham), Bronn (), Lord Varys (Jack Gleeson), Shae (), Hallyne (Sophie Turner), Grand Maester Pycelle (), Lancel Lannister (Rory McCann), Matthos Seaworth (), Loras Tyrell (Stephen Dillane), Armeca (), Dontos Hollard (Jerome Flynn)"
2,10,tt2112510,https://www.imdb.com/title/tt2112510/?ref_=ttep_ep_10,,", Peter Dinklage, , Lena Headey, , Nikolaj Coster-Waldau, , Michelle Fairley, , Emilia Clarke, , Aidan Gillen, , Iain Glen, , Kit Harington, , Charles Dance, , Isaac Hempstead Wright, , Richard Madden, , Sophie Turner, , Maisie Williams, , Alfie Allen, , John Bradley, , Jack Gleeson, , Natalie Dormer, , Stephen Dillane","Tyrion Lannister (), Cersei Lannister (Peter Dinklage), Jaime Lannister (), Catelyn Stark (Lena Headey), Daenerys Targaryen (), Petyr 'Littlefinger' Baelish (Nikolaj Coster-Waldau), Jorah Mormont (), Jon Snow (Michelle Fairley), Tywin Lannister (), Bran Stark (Emilia Clarke), Robb Stark (), Sansa Stark (Aidan Gillen), Arya Stark (), Theon Greyjoy (Iain Glen), Samwell Tarly (), Joffrey Baratheon (Kit Harington), Margaery Tyrell (), Stannis Baratheon (Charles Dance)"
