Season,Episode,Episode ID,Actor,Role
6,8,tt4283074,Jóhannes Haukur Jóhannesson,Lem Lemoncloak
6,8,tt4283074,Melanie Liburd,Street Red Priestess Meereen
6,8,tt4283074,Leigh Gill,Bobono
6,8,tt4283074,Rob Callender,Clarenzo
6,8,tt4283074,Sam Redford,Tully Bannerman
6,8,tt4283074,Ricky Champ,Gatins
6,8,tt4283074,Ian Davies,Morgan
6,8,tt4283074,Ross McKinney,Riddell
6,8,tt4283074,Steve Love,Steve
6,8,tt4283074,Brahm Gallagher,Lannister Soldier
6,8,tt4283074,Adam Turns,The Waif's Disguise
6,8,tt4283074,Nanna Bryndís Hilmarsdóttir,Musician #1
6,8,tt4283074,Ragnar Þórhallsson,Musician #2
6,8,tt4283074,Arnar Rosenkranz Hilmarsson,Musician #3
6,8,tt4283074,Brynjar Leifsson,Musician #4
6,8,tt4283074,Kristján Kristjánsson,Musician #5
6,9,tt4283088,Peter Dinklage,Tyrion Lannister
6,9,tt4283088,Kit Harington,Jon Snow
6,9,tt4283088,Emilia Clarke,Daenerys Targaryen
6,9,tt4283088,Liam Cunningham,Davos Seaworth
6,9,tt4283088,Sophie Turner,Sansa Stark
6,9,tt4283088,Aidan Gillen,Petyr 'Littlefinger' Baelish
6,9,tt4283088,Carice van Houten,Melisandre
6,9,tt4283088,Nathalie Emmanuel,Missandei
6,9,tt4283088,Kristofer Hivju,Tormund Giantsbane
6,9,tt4283088,Iwan Rheon,Ramsay Bolton
6,9,tt4283088,Alfie Allen,Theon Greyjoy
6,9,tt4283088,Michiel Huisman,Daario Naharis
6,9,tt4283088,Jacob Anderson,Grey Worm
6,9,tt4283088,Gemma Whelan,Yara Greyjoy
6,9,tt4283088,Ian Whyte,Wun Wun
6,9,tt4283088,Enzo Cilenti,Yezzan zo Qaggaz
6,9,tt4283088,Paul Rattray,Harald Karstark
6,9,tt4283088,Dean Jagger,Smalljon Umber
6,9,tt4283088,Art Parkinson,Rickon Stark
6,9,tt4283088,Bella Ramsey,Lyanna Mormont
6,9,tt4283088,George Georgiou,Razdal mo Eraz
6,9,tt4283088,Eddie Jackson,Belicho Paenymion
6,9,tt4283088,Rory Mullen,Captain of the Bolton Archers
6,9,tt4283088,Mark Tankersley,Bolton General
6,9,tt4283088,David Birkbeck,Northman Rider
6,9,tt4283088,Paul Garrett,Northman Archer
6,10,tt4283094,Peter Dinklage,Tyrion Lannister
6,10,tt4283094,Nikolaj Coster-Waldau,Jaime Lannister
6,10,tt4283094,Lena Headey,Cersei Lannister
6,10,tt4283094,Kit Harington,Jon Snow
6,10,tt4283094,Emilia Clarke,Daenerys Targaryen
6,10,tt4283094,Natalie Dormer,Margaery Tyrell
6,10,tt4283094,Liam Cunningham,Davos Seaworth
6,10,tt4283094,Sophie Turner,Sansa Stark
6,10,tt4283094,Aidan Gillen,Petyr 'Littlefinger' Baelish
6,10,tt4283094,Carice van Houten,Melisandre
6,10,tt4283094,Nathalie Emmanuel,Missandei
6,10,tt4283094,Indira Varma,Ellaria Sand
6,10,tt4283094,Maisie Williams,Arya Stark
6,10,tt4283094,Jonathan Pryce,High Sparrow
6,10,tt4283094,Conleth Hill,Lord Varys
6,10,tt4283094,Dean-Charles Chapman,Tommen Baratheon
6,10,tt4283094,Kristofer Hivju,Tormund Giantsbane
6,10,tt4283094,John Bradley,Samwell Tarly
6,10,tt4283094,Isaac Hempstead Wright,Bran Stark
6,10,tt4283094,Jerome Flynn,Bronn
6,10,tt4283094,Alfie Allen,Theon Greyjoy
6,10,tt4283094,Michiel Huisman,Daario Naharis
6,10,tt4283094,Hannah Murray,Gilly
6,10,tt4283094,Diana Rigg,Olenna Tyrell
6,10,tt4283094,David Bradley,Walder Frey
6,10,tt4283094,Julian Glover,Grand Maester Pycelle
6,10,tt4283094,Anton Lesser,Qyburn
6,10,tt4283094,Joseph Mawle,Benjen Stark
6,10,tt4283094,Finn Jones,Loras Tyrell
6,10,tt4283094,Ian Gelder,Kevan Lannister
6,10,tt4283094,Roger Ashton-Griffiths,Mace Tyrell
6,10,tt4283094,Jacob Anderson,Grey Worm
6,10,tt4283094,Gemma Whelan,Yara Greyjoy
6,10,tt4283094,Ellie Kendrick,Meera Reed
6,10,tt4283094,Eugene Simon,Lancel Lannister
6,10,tt4283094,Keisha Castle-Hughes,Obara Sand
6,10,tt4283094,Rosabell Laurenti Sellers,Tyene Sand
6,10,tt4283094,Jessica Henwick,Nymeria Sand
6,10,tt4283094,Rupert Vansittart,Yohn Royce
6,10,tt4283094,Tim McInnerny,Robett Glover
6,10,tt4283094,Hafþór Júlíus Björnsson,Gregor 'The Mountain' Clegane
6,10,tt4283094,Hannah Waddingham,Septa Unella
6,10,tt4283094,Daniel Tuite,Lothar Frey
6,10,tt4283094,Tim Plester,Black Walder Rivers
6,10,tt4283094,Robert Aramayo,Young Ned
6,10,tt4283094,Aisling Franciosi,Lyanna Stark
6,10,tt4283094,Frank Hvam,Citadel Maester
6,10,tt4283094,Bella Ramsey,Lyanna Mormont
6,10,tt4283094,Josephine Gillan,Marei
6,10,tt4283094,Sara Dylan,Bernadette
6,10,tt4283094,Sabrina Bartlett,Handmaid
6,10,tt4283094,Dermot Ward,Tommen's Attendant
6,10,tt4283094,Aron Hegarty,Tommen's Manservant
6,10,tt4283094,Sean Blowers,Wyman Manderly
6,10,tt4283094,Tom Varey,Cley Cerwyn
6,10,tt4283094,Nathanael Saleh,Arthur
6,10,tt4283094,Annette Hannah,Frances
6,10,tt4283094,Jesse Magee,Little Bird #4
6,10,tt4283094,Lucy Gallagher,Little Bird #6
6,10,tt4283094,Fionn Kernan,Little Bird #7
6,10,tt4283094,Michael Nevin,Little Bird #3
6,10,tt4283094,Iona Clarke,Little Bird #5
6,10,tt4283094,Frédéric André,Knight
7,1,tt5654088,Peter Dinklage,Tyrion Lannister
7,1,tt5654088,Nikolaj Coster-Waldau,Jaime Lannister
7,1,tt5654088,Lena Headey,Cersei Lannister
7,1,tt5654088,Emilia Clarke,Daenerys Targaryen
7,1,tt5654088,Kit Harington,Jon Snow
7,1,tt5654088,Aidan Gillen,Petyr 'Littlefinger' Baelish
7,1,tt5654088,Liam Cunningham,Davos Seaworth
7,1,tt5654088,Sophie Turner,Sansa Stark
7,1,tt5654088,Maisie Williams,Arya Stark
7,1,tt5654088,Nathalie Emmanuel,Missandei
7,1,tt5654088,Gwendoline Christie,Brienne of Tarth
7,1,tt5654088,Conleth Hill,Lord Varys
7,1,tt5654088,John Bradley,Samwell Tarly
7,1,tt5654088,Isaac Hempstead Wright,Bran Stark
7,1,tt5654088,Hannah Murray,Gilly
7,1,tt5654088,Kristofer Hivju,Tormund Giantsbane
7,1,tt5654088,Rory McCann,Sandor 'The Hound' Clegane
7,1,tt5654088,Iain Glen,Jorah Mormont
7,1,tt5654088,Jim Broadbent,Archmaester Ebrose
7,1,tt5654088,Pilou Asbæk,Euron Greyjoy
7,1,tt5654088,David Bradley,Walder Frey
7,1,tt5654088,Anton Lesser,Qyburn
7,1,tt5654088,Richard Dormer,Beric Dondarrion
7,1,tt5654088,Paul Kaye,Thoros of Myr
7,1,tt5654088,Jacob Anderson,Grey Worm
7,1,tt5654088,Ellie Kendrick,Meera Reed
7,1,tt5654088,Ben Crompton,Eddison Tollett
7,1,tt5654088,Hafþór Júlíus Björnsson,Gregor 'The Mountain' Clegane
7,1,tt5654088,Tim McInnerny,Robett Glover
7,1,tt5654088,Daniel Portman,Podrick Payne
7,1,tt5654088,Rupert Vansittart,Yohn Royce
7,1,tt5654088,Bella Ramsey,Lyanna Mormont
7,1,tt5654088,Richard Rycroft,Maester Wolkan
7,1,tt5654088,Lucy Hayes,Lady Kitty Frey
7,1,tt5654088,Ed Sheeran,Lannister Soldier
7,1,tt5654088,Thomas Turgoose,Lannister Soldier
7,1,tt5654088,Billy Postlethwaite,Lannister Soldier
7,1,tt5654088,Megan Parkinson,Alys Karstark
7,1,tt5654088,Harry Grasby,Ned Umber
7,1,tt5654088,Neil Fingleton,Giant Wight #2
7,1,tt5654088,Ian Whyte,Giant Wight #1
7,1,tt5654088,Paul Ward,Poisoned Frey
7,1,tt5654088,Brendan Morrissey,Frey Lord
7,1,tt5654088,Eamonn Draper,Sick Maester
7,1,tt5654088,William Nevan Wilson,Baby Sam
7,1,tt5654088,James Robert Wilson,Baby Sam
7,1,tt5654088,Kate Dempsey,Serving Girl
7,2,tt5655178,Peter Dinklage,Tyrion Lannister
7,2,tt5655178,Nikolaj Coster-Waldau,Jaime Lannister
7,2,tt5655178,Lena Headey,Cersei Lannister
7,2,tt5655178,Emilia Clarke,Daenerys Targaryen
7,2,tt5655178,Kit Harington,Jon Snow
7,2,tt5655178,Aidan Gillen,Petyr 'Littlefinger' Baelish
7,2,tt5655178,Liam Cunningham,Davos Seaworth
7,2,tt5655178,Sophie Turner,Sansa Stark
7,2,tt5655178,Maisie Williams,Arya Stark
7,2,tt5655178,Carice van Houten,Melisandre
7,2,tt5655178,Nathalie Emmanuel,Missandei
7,2,tt5655178,Indira Varma,Ellaria Sand
7,2,tt5655178,Alfie Allen,Theon Greyjoy
7,2,tt5655178,John Bradley,Samwell Tarly
7,2,tt5655178,Gwendoline Christie,Brienne of Tarth
7,2,tt5655178,Conleth Hill,Lord Varys
7,2,tt5655178,Iain Glen,Jorah Mormont
7,2,tt5655178,Diana Rigg,Olenna Tyrell
7,2,tt5655178,Jim Broadbent,Archmaester Ebrose
7,2,tt5655178,Pilou Asbæk,Euron Greyjoy
7,2,tt5655178,Gemma Whelan,Yara Greyjoy
7,2,tt5655178,Anton Lesser,Qyburn
7,2,tt5655178,Jacob Anderson,Grey Worm
7,2,tt5655178,Keisha Castle-Hughes,Obara Sand
7,2,tt5655178,Rosabell Laurenti Sellers,Tyene Sand
7,2,tt5655178,Jessica Henwick,Nymeria Sand
7,2,tt5655178,Hafþór Júlíus Björnsson,Gregor 'The Mountain' Clegane
7,2,tt5655178,Ben Hawkey,Hot Pie
7,2,tt5655178,Tim McInnerny,Robett Glover
7,2,tt5655178,James Faulkner,Randyll Tarly
7,2,tt5655178,Rupert Vansittart,Yohn Royce
7,2,tt5655178,Tom Hopper,Dickon Tarly
7,2,tt5655178,Bella Ramsey,Lyanna Mormont
7,2,tt5655178,Richard Rycroft,Maester Wolkan
7,2,tt5655178,Ben Fox,Crossroads Inn Patron
7,2,tt5655178,Mark Roper,Crossroads Inn Patron
7,2,tt5655178,Megan Parkinson,Alys Karstark
7,2,tt5655178,Harry Grasby,Ned Umber
7,3,tt5775840,Peter Dinklage,Tyrion Lannister
7,3,tt5775840,Nikolaj Coster-Waldau,Jaime Lannister
7,3,tt5775840,Lena Headey,Cersei Lannister
7,3,tt5775840,Emilia Clarke,Daenerys Targaryen
7,3,tt5775840,Kit Harington,Jon Snow
7,3,tt5775840,Aidan Gillen,Petyr 'Littlefinger' Baelish
7,3,tt5775840,Liam Cunningham,Davos Seaworth
7,3,tt5775840,Carice van Houten,Melisandre
7,3,tt5775840,Sophie Turner,Sansa Stark
7,3,tt5775840,Nathalie Emmanuel,Missandei
7,3,tt5775840,Indira Varma,Ellaria Sand
7,3,tt5775840,Alfie Allen,Theon Greyjoy
7,3,tt5775840,John Bradley,Samwell Tarly
7,3,tt5775840,Isaac Hempstead Wright,Bran Stark
7,3,tt5775840,Conleth Hill,Lord Varys
7,3,tt5775840,Jerome Flynn,Bronn
7,3,tt5775840,Iain Glen,Jorah Mormont
7,3,tt5775840,Diana Rigg,Olenna Tyrell
7,3,tt5775840,Jim Broadbent,Archmaester Ebrose
7,3,tt5775840,Pilou Asbæk,Euron Greyjoy
7,3,tt5775840,Gemma Whelan,Yara Greyjoy
7,3,tt5775840,Jacob Anderson,Grey Worm
7,3,tt5775840,Anton Lesser,Qyburn
7,3,tt5775840,Mark Gatiss,Tycho Nestoris
7,3,tt5775840,Rosabell Laurenti Sellers,Tyene Sand
7,3,tt5775840,Ellie Kendrick,Meera Reed
7,3,tt5775840,Hafþór Júlíus Björnsson,Gregor 'The Mountain' Clegane
7,3,tt5775840,Rupert Vansittart,Yohn Royce
7,3,tt5775840,James Faulkner,Randyll Tarly
7,3,tt5775840,Tom Hopper,Dickon Tarly
7,3,tt5775840,Brendan Cowell,Harrag
7,3,tt5775840,Richard Rycroft,Maester Wolkan
7,3,tt5775840,Sara Dylan,Bernadette
7,3,tt5775840,Luke Wilson Hanley,Stark Soldier
7,3,tt5775840,Staz Nair,Qhono
7,4,tt5775846,Peter Dinklage,Tyrion Lannister
7,4,tt5775846,Nikolaj Coster-Waldau,Jaime Lannister
7,4,tt5775846,Lena Headey,Cersei Lannister
7,4,tt5775846,Emilia Clarke,Daenerys Targaryen
7,4,tt5775846,Kit Harington,Jon Snow
7,4,tt5775846,Aidan Gillen,Petyr 'Littlefinger' Baelish
7,4,tt5775846,Liam Cunningham,Davos Seaworth
7,4,tt5775846,Sophie Turner,Sansa Stark
7,4,tt5775846,Maisie Williams,Arya Stark
7,4,tt5775846,Nathalie Emmanuel,Missandei
7,4,tt5775846,Conleth Hill,Lord Varys
7,4,tt5775846,Jerome Flynn,Bronn
7,4,tt5775846,Alfie Allen,Theon Greyjoy
7,4,tt5775846,Gwendoline Christie,Brienne of Tarth
7,4,tt5775846,Isaac Hempstead Wright,Bran Stark
7,4,tt5775846,James Faulkner,Randyll Tarly
7,4,tt5775846,Tom Hopper,Dickon Tarly
7,4,tt5775846,Ellie Kendrick,Meera Reed
7,4,tt5775846,Mark Gatiss,Tycho Nestoris
7,4,tt5775846,Brendan Cowell,Harrag
7,4,tt5775846,Daniel Portman,Podrick Payne
7,4,tt5775846,Danny Kirrane,Stark Soldier
7,4,tt5775846,Joseph Quinn,Koner
7,4,tt5775846,Staz Nair,Qhono
7,4,tt5775846,Briege Roche,Winterfell Local
7,4,tt5775846,Eamonn Keenan,Stark Soldier
7,5,tt5775854,Peter Dinklage,Tyrion Lannister
7,5,tt5775854,Nikolaj Coster-Waldau,Jaime Lannister
7,5,tt5775854,Lena Headey,Cersei Lannister
7,5,tt5775854,Emilia Clarke,Daenerys Targaryen
7,5,tt5775854,Kit Harington,Jon Snow
7,5,tt5775854,Aidan Gillen,Petyr 'Littlefinger' Baelish
7,5,tt5775854,Liam Cunningham,Davos Seaworth
7,5,tt5775854,Sophie Turner,Sansa Stark
7,5,tt5775854,Maisie Williams,Arya Stark
7,5,tt5775854,Conleth Hill,Lord Varys
7,5,tt5775854,Rory McCann,Sandor 'The Hound' Clegane
7,5,tt5775854,Isaac Hempstead Wright,Bran Stark
7,5,tt5775854,Jerome Flynn,Bronn
7,5,tt5775854,John Bradley,Samwell Tarly
7,5,tt5775854,Hannah Murray,Gilly
7,5,tt5775854,Kristofer Hivju,Tormund Giantsbane
7,5,tt5775854,Joe Dempsie,Gendry
7,5,tt5775854,Iain Glen,Jorah Mormont
7,5,tt5775854,Jim Broadbent,Archmaester Ebrose
7,5,tt5775854,Richard Dormer,Beric Dondarrion
7,5,tt5775854,Paul Kaye,Thoros of Myr
7,5,tt5775854,Anton Lesser,Qyburn
7,5,tt5775854,James Faulkner,Randyll Tarly
7,5,tt5775854,Tom Hopper,Dickon Tarly
7,5,tt5775854,Tim McInnerny,Robett Glover
7,5,tt5775854,Rupert Vansittart,Yohn Royce
7,5,tt5775854,Richard Rycroft,Maester Wolkan
7,5,tt5775854,Kevin Eldon,Goldcloak
7,5,tt5775854,Julian Firth,Citadel Maester
7,5,tt5775854,Philip O'Sullivan,Citadel Maester
7,5,tt5775854,Laurence Spellman,Goldcloak
7,5,tt5775854,Staz Nair,Qhono
7,5,tt5775854,William Nevan Wilson,Baby Sam
7,5,tt5775854,James Robert Wilson,Baby Sam
7,5,tt5775854,Adele Smyth-Kennedy,'Littlefinger' Winterfell Spy
7,6,tt5775864,Peter Dinklage,Tyrion Lannister
7,6,tt5775864,Emilia Clarke,Daenerys Targaryen
7,6,tt5775864,Kit Harington,Jon Snow
7,6,tt5775864,Aidan Gillen,Petyr 'Littlefinger' Baelish
7,6,tt5775864,Liam Cunningham,Davos Seaworth
7,6,tt5775864,Sophie Turner,Sansa Stark
7,6,tt5775864,Maisie Williams,Arya Stark
7,6,tt5775864,Gwendoline Christie,Brienne of Tarth
7,6,tt5775864,Rory McCann,Sandor 'The Hound' Clegane
7,6,tt5775864,Kristofer Hivju,Tormund Giantsbane
7,6,tt5775864,Joe Dempsie,Gendry
7,6,tt5775864,Iain Glen,Jorah Mormont
7,6,tt5775864,Richard Dormer,Beric Dondarrion
7,6,tt5775864,Paul Kaye,Thoros of Myr
7,6,tt5775864,Joseph Mawle,Benjen Stark
7,6,tt5775864,Richard Rycroft,Maester Wolkan
7,7,tt5775874,Peter Dinklage,Tyrion Lannister
7,7,tt5775874,Nikolaj Coster-Waldau,Jaime Lannister
7,7,tt5775874,Lena Headey,Cersei Lannister
7,7,tt5775874,Emilia Clarke,Daenerys Targaryen
7,7,tt5775874,Kit Harington,Jon Snow
7,7,tt5775874,Aidan Gillen,Petyr 'Littlefinger' Baelish
7,7,tt5775874,Liam Cunningham,Davos Seaworth
7,7,tt5775874,Sophie Turner,Sansa Stark
7,7,tt5775874,Maisie Williams,Arya Stark
7,7,tt5775874,Nathalie Emmanuel,Missandei
7,7,tt5775874,Alfie Allen,Theon Greyjoy
7,7,tt5775874,John Bradley,Samwell Tarly
7,7,tt5775874,Isaac Hempstead Wright,Bran Stark
7,7,tt5775874,Conleth Hill,Lord Varys
7,7,tt5775874,Jerome Flynn,Bronn
7,7,tt5775874,Gwendoline Christie,Brienne of Tarth
7,7,tt5775874,Rory McCann,Sandor 'The Hound' Clegane
7,7,tt5775874,Kristofer Hivju,Tormund Giantsbane
7,7,tt5775874,Hannah Murray,Gilly
7,7,tt5775874,Iain Glen,Jorah Mormont
7,7,tt5775874,Pilou Asbæk,Euron Greyjoy
7,7,tt5775874,Richard Dormer,Beric Dondarrion
7,7,tt5775874,Jacob Anderson,Grey Worm
7,7,tt5775874,Anton Lesser,Qyburn
7,7,tt5775874,Daniel Portman,Podrick Payne
7,7,tt5775874,Hafþór Júlíus Björnsson,Gregor 'The Mountain' Clegane
7,7,tt5775874,Rupert Vansittart,Yohn Royce
7,7,tt5775874,Aisling Franciosi,Lyanna Stark
7,7,tt5775874,Brendan Cowell,Harrag
7,7,tt5775874,Robert Aramayo,Young Ned
7,7,tt5775874,Richard Rycroft,Maester Wolkan
7,7,tt5775874,Wilf Scolding,Rhaegar Targaryen
7,7,tt5775874,Tom Chadbon,High Septon Maynard
7,7,tt5775874,Staz Nair,Qhono
7,7,tt5775874,Guy Oliver-Watts,Lannister General
7,7,tt5775874,Neil Fingleton,Giant Wight #2
7,7,tt5775874,Ian Whyte,Giant Wight #1
7,7,tt5775874,Adam Slynn,Lannister Guard
7,7,tt5775874,William Nevan Wilson,Baby Sam
7,7,tt5775874,James Robert Wilson,Baby Sam
8,1,tt5924366,Peter Dinklage,Tyrion Lannister
8,1,tt5924366,Nikolaj Coster-Waldau,Jaime Lannister
8,1,tt5924366,Lena Headey,Cersei Lannister
8,1,tt5924366,Emilia Clarke,Daenerys Targaryen
8,1,tt5924366,Kit Harington,Jon Snow
8,1,tt5924366,Sophie Turner,Sansa Stark
8,1,tt5924366,Maisie Williams,Arya Stark
8,1,tt5924366,Liam Cunningham,Davos Seaworth
8,1,tt5924366,Nathalie Emmanuel,Missandei
8,1,tt5924366,Alfie Allen,Theon Greyjoy
8,1,tt5924366,John Bradley,Samwell Tarly
8,1,tt5924366,Isaac Hempstead Wright,Bran Stark
8,1,tt5924366,Gwendoline Christie,Brienne of Tarth
8,1,tt5924366,Conleth Hill,Lord Varys
8,1,tt5924366,Rory McCann,Sandor 'The Hound' Clegane
8,1,tt5924366,Jerome Flynn,Bronn
8,1,tt5924366,Kristofer Hivju,Tormund Giantsbane
8,1,tt5924366,Joe Dempsie,Gendry
8,1,tt5924366,Jacob Anderson,Grey Worm
8,1,tt5924366,Iain Glen,Jorah Mormont
8,1,tt5924366,Pilou Asbæk,Euron Greyjoy
8,1,tt5924366,Anton Lesser,Qyburn
8,1,tt5924366,Richard Dormer,Beric Dondarrion
8,1,tt5924366,Gemma Whelan,Yara Greyjoy
8,1,tt5924366,Ben Crompton,Eddison Tollett
8,1,tt5924366,Hafþór Júlíus Björnsson,Gregor 'The Mountain' Clegane
8,1,tt5924366,Daniel Portman,Podrick Payne
8,1,tt5924366,Rupert Vansittart,Yohn Royce
8,1,tt5924366,Bella Ramsey,Lyanna Mormont
8,1,tt5924366,Marc Rissmann,Harry Strickland
8,1,tt5924366,Megan Parkinson,Alys Karstark
8,1,tt5924366,Richard Rycroft,Maester Wolkan
8,1,tt5924366,Harry Grasby,Ned Umber
8,1,tt5924366,Lucy Aarden,Crayah
8,1,tt5924366,Marina Lawrence-Mahrra,Dirah
8,1,tt5924366,Josephine Gillan,Marei
8,1,tt5924366,Staz Nair,Qhono
8,1,tt5924366,Felix Jamieson,Winter Town Boy
8,1,tt5924366,Syd Ralph,Winter Town Woman
8,1,tt5924366,Eileen McCloskey,Village Woman
8,1,tt5924366,Katie Tumelty,Winter Town Woman
8,2,tt6027908,Peter Dinklage,Tyrion Lannister
8,2,tt6027908,Nikolaj Coster-Waldau,Jaime Lannister
8,2,tt6027908,Emilia Clarke,Daenerys Targaryen
8,2,tt6027908,Kit Harington,Jon Snow
8,2,tt6027908,Sophie Turner,Sansa Stark
8,2,tt6027908,Maisie Williams,Arya Stark
8,2,tt6027908,Liam Cunningham,Davos Seaworth
8,2,tt6027908,Nathalie Emmanuel,Missandei
8,2,tt6027908,Alfie Allen,Theon Greyjoy
8,2,tt6027908,Joe Dempsie,Gendry
8,2,tt6027908,Isaac Hempstead Wright,Bran Stark
8,2,tt6027908,John Bradley,Samwell Tarly
8,2,tt6027908,Hannah Murray,Gilly
8,2,tt6027908,Gwendoline Christie,Brienne of Tarth
8,2,tt6027908,Conleth Hill,Lord Varys
8,2,tt6027908,Rory McCann,Sandor 'The Hound' Clegane
8,2,tt6027908,Kristofer Hivju,Tormund Giantsbane
8,2,tt6027908,Jacob Anderson,Grey Worm
8,2,tt6027908,Iain Glen,Jorah Mormont
8,2,tt6027908,Richard Dormer,Beric Dondarrion
8,2,tt6027908,Ben Crompton,Eddison Tollett
8,2,tt6027908,Daniel Portman,Podrick Payne
8,2,tt6027908,Bella Ramsey,Lyanna Mormont
8,2,tt6027908,Rupert Vansittart,Yohn Royce
8,2,tt6027908,Richard Rycroft,Maester Wolkan
8,2,tt6027908,Megan Parkinson,Alys Karstark
8,2,tt6027908,Seamus O'Hara,Fergus
8,2,tt6027908,Staz Nair,Qhono
8,2,tt6027908,Bea Glancy,Teela
8,2,tt6027908,Lucy McConnell,Woman with Elderly Parents
8,2,tt6027908,Conor Maguire,Fergus' Friend
8,2,tt6027908,Thomas Finnegan,Baby Sam
8,2,tt6027908,Logan Watson,Baby Sam
8,2,tt6027908,Finn Watson,
8,2,tt6027908,Fionnuala Murphy,
8,2,tt6027908,Rosa Frazer,
8,3,tt6027912,Peter Dinklage,Tyrion Lannister
8,3,tt6027912,Nikolaj Coster-Waldau,Jaime Lannister
8,3,tt6027912,Emilia Clarke,Daenerys Targaryen
8,3,tt6027912,Kit Harington,Jon Snow
8,3,tt6027912,Sophie Turner,Sansa Stark
8,3,tt6027912,Maisie Williams,Arya Stark
8,3,tt6027912,Liam Cunningham,Davos Seaworth
8,3,tt6027912,Carice van Houten,Melisandre
8,3,tt6027912,Nathalie Emmanuel,Missandei
8,3,tt6027912,Alfie Allen,Theon Greyjoy
8,3,tt6027912,Isaac Hempstead Wright,Bran Stark
8,3,tt6027912,John Bradley,Samwell Tarly
8,3,tt6027912,Hannah Murray,Gilly
8,3,tt6027912,Gwendoline Christie,Brienne of Tarth
8,3,tt6027912,Conleth Hill,Lord Varys
8,3,tt6027912,Rory McCann,Sandor 'The Hound' Clegane
8,3,tt6027912,Kristofer Hivju,Tormund Giantsbane
8,3,tt6027912,Joe Dempsie,Gendry
8,3,tt6027912,Jacob Anderson,Grey Worm
8,3,tt6027912,Iain Glen,Jorah Mormont
8,3,tt6027912,Richard Dormer,Beric Dondarrion
8,3,tt6027912,Vladimir 'Furdo' Furdik,The Night King
8,3,tt6027912,Ben Crompton,Eddison Tollett
8,3,tt6027912,Daniel Portman,Podrick Payne
8,3,tt6027912,Bella Ramsey,Lyanna Mormont
8,3,tt6027912,Ian Whyte,Giant Wight #1
8,3,tt6027912,Megan Parkinson,Alys Karstark
8,3,tt6027912,Staz Nair,Qhono
8,3,tt6027912,Javier Botet,Wight at Table
8,3,tt6027912,Seamus O'Hara,Fergus
8,3,tt6027912,Bea Glancy,Teela
8,3,tt6027912,Lucy McConnell,Woman with Elderly Parents
8,3,tt6027912,Bronte Carmichael,Martha
8,3,tt6027912,Eileen McCloskey,Village Woman
8,3,tt6027912,Robert James,Northman
8,3,tt6027912,Roma Tomelty,Northwoman
8,3,tt6027912,Claire Connor,Baby Sam
8,3,tt6027912,Logan Watson,Baby Sam
8,3,tt6027912,Finn Watson,
8,4,tt6027914,Peter Dinklage,Tyrion Lannister
8,4,tt6027914,Nikolaj Coster-Waldau,Jaime Lannister
8,4,tt6027914,Lena Headey,Cersei Lannister
8,4,tt6027914,Emilia Clarke,Daenerys Targaryen
8,4,tt6027914,Kit Harington,Jon Snow
8,4,tt6027914,Sophie Turner,Sansa Stark
8,4,tt6027914,Maisie Williams,Arya Stark
8,4,tt6027914,Liam Cunningham,Davos Seaworth
8,4,tt6027914,Nathalie Emmanuel,Missandei
8,4,tt6027914,Alfie Allen,Theon Greyjoy
8,4,tt6027914,Isaac Hempstead Wright,Bran Stark
8,4,tt6027914,Gwendoline Christie,Brienne of Tarth
8,4,tt6027914,Conleth Hill,Lord Varys
8,4,tt6027914,John Bradley,Samwell Tarly
8,4,tt6027914,Hannah Murray,Gilly
8,4,tt6027914,Rory McCann,Sandor 'The Hound' Clegane
8,4,tt6027914,Jerome Flynn,Bronn
8,4,tt6027914,Kristofer Hivju,Tormund Giantsbane
8,4,tt6027914,Joe Dempsie,Gendry
8,4,tt6027914,Jacob Anderson,Grey Worm
8,4,tt6027914,Iain Glen,Jorah Mormont
8,4,tt6027914,Pilou Asbæk,Euron Greyjoy
8,4,tt6027914,Anton Lesser,Qyburn
8,4,tt6027914,Richard Dormer,Beric Dondarrion
8,4,tt6027914,Ben Crompton,Eddison Tollett
8,4,tt6027914,Daniel Portman,Podrick Payne
8,4,tt6027914,Hafþór Júlíus Björnsson,Gregor 'The Mountain' Clegane
8,4,tt6027914,Bella Ramsey,Lyanna Mormont
8,4,tt6027914,Rupert Vansittart,Yohn Royce
8,4,tt6027914,Richard Rycroft,Maester Wolkan
8,4,tt6027914,Staz Nair,Qhono
8,4,tt6027914,Alice Nokes,Willa
8,4,tt6027914,Danielle Galligan,Sarra
8,4,tt6027914,Emer McDaid,Winterfell Girl
8,5,tt6027916,Peter Dinklage,Tyrion Lannister
8,5,tt6027916,Nikolaj Coster-Waldau,Jaime Lannister
8,5,tt6027916,Lena Headey,Cersei Lannister
8,5,tt6027916,Emilia Clarke,Daenerys Targaryen
8,5,tt6027916,Kit Harington,Jon Snow
8,5,tt6027916,Maisie Williams,Arya Stark
8,5,tt6027916,Liam Cunningham,Davos Seaworth
8,5,tt6027916,Conleth Hill,Lord Varys
8,5,tt6027916,Rory McCann,Sandor 'The Hound' Clegane
8,5,tt6027916,Jacob Anderson,Grey Worm
8,5,tt6027916,Pilou Asbæk,Euron Greyjoy
8,5,tt6027916,Anton Lesser,Qyburn
8,5,tt6027916,Hafþór Júlíus Björnsson,Gregor 'The Mountain' Clegane
8,5,tt6027916,Laura Elphinstone,Nora
8,5,tt6027916,Marc Rissmann,Harry Strickland
