지수명,시작일 기준가,종료일 종가,대비,등락률,거래량,거래대금
"코스피","1976.12","2094.12","118.00","5.97","2.08819714E8","2.448944415E9"
"코스피 200","251.28","270.38","19.10","7.60","3.980741E7","1.719178411E9"
"코스피 100","1888.35","2040.85","152.50","8.08","2.7230725E7","1.422658097E9"
"코스피 50","1613.50","1776.95","163.45","10.13","1.3900588E7","1.056577774E9"
"코스피 200 중소형주","997.21","1029.10","31.89","3.20","9742595.0","2.26232911E8"
"코스피 200 초대형제외 지수","227.75","225.89","-1.86","-0.82",,
"코스피200제외 코스피지수","2304.32","2504.39","200.07","8.68",,
"코스피 200 커뮤니케이션서비스","1439.45","1579.15","139.70","9.71",,
"코스피 200 건설","330.44","269.83","-60.61","-18.34","3157149.0","8.8654563E7"
"코스피 200 중공업","359.85","333.48","-26.37","-7.33","4934975.0","8.5916753E7"
"코스피 200 철강/소재","925.79","1002.57","76.78","8.29","900943.0","7.0011481E7"
"코스피 200 에너지/화학","910.19","1223.41","313.22","34.41","3205402.0","1.84016275E8"
"코스피 200 정보기술","1570.65","1703.06","132.41","8.43","4628647.0","4.17496358E8"
"코스피 200 금융","702.69","738.43","35.74","5.09","7565722.0","1.6134917E8"
"코스피 200 생활소비재","1248.67","1298.05","49.38","3.95","4178799.0","2.7941751E8"
"코스피 200 경기소비재","1783.84","1592.91","-190.93","-10.70","5154692.0","2.62352323E8"
"코스피 200 산업재","799.21","605.90","-193.31","-24.19","2214582.0","6.479548E7"
"코스피 200 헬스케어","1212.56","1716.42","503.86","41.55","3866499.0","1.05168498E8"
"음식료·담배","4686.32","4403.79","-282.53","-6.03","5451930.0","7.34227E7"
"섬유·의류","402.59","283.63","-118.96","-29.55","9364713.0","5.2378469E7"
"종이·목재","343.17","369.05","25.88","7.54","7986175.0","1.9897862E7"
"화학","4209.12","5156.06","946.94","22.50","9811112.0","2.90934722E8"
"제약","4891.26","7849.56","2958.30","60.48","1.7652708E7","2.00558327E8"
"비금속","1574.32","1363.17","-211.15","-13.41","2477236.0","2.1783795E7"
"금속","4817.67","4840.19","22.52","0.47","8289471.0","9.0643188E7"
"기계·장비","881.76","818.63","-63.13","-7.16","1.022342E7","7.157286E7"
"전기전자","10929.89","13720.78","2790.89","25.53","2.3541608E7","4.05975907E8"
"의료·정밀기기","1757.04","1972.42","215.38","12.26","1.8047066E7","1.1536651E7"
"운송장비·부품","1867.11","1768.99","-98.12","-5.26","1.0527397E7","2.05402466E8"
"유통","495.01","458.58","-36.43","-7.36","2.4220973E7","2.05644661E8"
"전기·가스","1317.60","1307.03","-10.57","-0.80","733442.0","3.5005222E7"
"건설","133.44","115.48","-17.96","-13.46","4101589.0","6.6424111E7"
"운송·창고","2331.76","1519.68","-812.08","-34.83","1.4832123E7","6.9320689E7"
"통신","387.69","343.51","-44.18","-11.40","1172405.0","3.8677973E7"
"금융","430.94","451.49","20.55","4.77","1.9243546E7","2.09052691E8"
"증권","1909.27","1777.05","-132.22","-6.93","8979720.0","6.1560653E7"
"보험","17709.46","18058.47","349.01","1.97","1868899.0","5.278132E7"
"일반서비스","1075.57","1066.91","-8.66","-0.81","1.3428871E7","3.33614699E8"
"제조","4042.78","4606.90","564.12","13.95","1.28507297E8","1.478630797E9"
"코스피 대형주","1897.18","2012.20","115.02","6.06","2.4275459E7","1.376113044E9"
"코스피 중형주","2416.12","2548.12","132.00","5.46","3.5568744E7","5.27320037E8"
"코스피 소형주","1858.53","2063.31","204.78","11.02","1.43631815E8","4.24325276E8"
"코스피 200 비중상한 30%","251.28","270.38","19.10","7.60",,
"코스피 200 비중상한 25%","251.37","270.47","19.10","7.60",,
"코스피 200 비중상한 20%","251.72","269.45","17.73","7.04",,
"오락·문화",,,,,,
"IT 서비스",,,,,,
"부동산",,,,,,
"코스피 200 TOP 10","977.32","992.43","15.11","1.55",,
